Code,Title,Levels,Runtime,RelDate,Season,Authors,Tier,Price,Seed,G.Ad.,Eber,RMH,Epic,URL
CCC-GLIP-0201,Blue Scales,5-10,2,,,,,,,,,,,
CCC-GOC-0101,Tree Rot,1-4,2,,,,,,,,,,,
CCC-GOC-0102,Cairns of Rot,5-10,2,,,,,,,,,,,
CCC-GOC-0103,Winds of Rot,5-10,4,,,,,,,,,,,
CCC-GSP-0101,A Dragon's Breath,1-4,4,,,,,,,,,,,
CCC-HAL-01,Fate of the Nightworms,1-4,4,,,,,,,,,,,
CCC-HAL-02,Six Striking Swords,5-10,4,,,,,,,,,,,
CCC-HAL-03,Six Swords Unbound,5-10,4,,,,,,,,,,,
CCC-HATMS01-01,"Threatening Tides (Song of Maos, Part 1)",5-10,4,,,,,,,,,,,
CCC-HATMS01-02,"Prophecy's Promise (Isle of Maos, Part 2)",5-10,4,,,,,,,,,,,
CCC-HATMS01-03,"Destiny Defied (Isle of Maos, Part 3)",5-10,4,,,,,,,,,,,
CCC-HATMS02-01,Illithid Activities,5-10,4,,,,,,,,,,,
CCC-HATMS02-02,Something Vile This Way Comes,11-16,4,,,,,,,,,,,
CCC-HATMS02-03,A Vile Wake,11-16,4,,,,,,,,,,,
CCC-IFK-01,Shadow of Greed,5-10,2,,,,,,,,,,,
CCC-IFK-02,Shadow of the Weave,5-10,4,,,,,,,,,,,
CCC-IFK-03,Shadow of the Dusk Queen,5-10,4,,,,,,,,,,,
CCC-JGD-01,Left Black & Blue,11-16,2-4,,,,,,,,,,,
CCC-JGD-02,Tortle Crossing,1-4,2-4,,,,,,,,,,,
CCC-JGD-03,Tortle Tribulations,5-10,2-4,,,,,,,,,,,
CCC-JGD-04,Gods of the Earth,5-10,2-4,,,,,,,,,,,
CCC-KUMORI-0101,Wreckers,1-4,2,,,,,,,,,,,
CCC-KUMORI-0102,Wretches,1-4,2,,,,,,,,,,,
CCC-KUMORI-0204,To Be the Very Best,1-4,2,,,,,,,,,,,
CCC-LINKS-01,Champion of the People,5-10,4,,,,,,,,,,,
CCC-LINKS-02,The Secrets We Keep,11-16,4,,,,,,,,,,,
CCC-MACE-01,The Blight of Geoffrey,1-4,4,,,,,,,,,,,
CCC-MACE-02,A Panther's Peril,1-4,4,,,,,,,,,,,
CCC-MACE-03,Haunted Memories,1-4,4,,,,,,,,,,,
CCC-MCX-01,All in a Day's Work,1-4,2,,,,,,,,,,,
CCC-MCX01-02,The Rescue,1-4,2,,,,,,,,,,,
CCC-MIND-01,Lost in Thought v1.0,11-16,4,,,,,,,,,,,
CCC-MIND-02,Mind Trip v1.00,11-16,4,,,,,,,,,,,
CCC-MIND-03,Dream Walkers v1.0,11-16,4,,,,,,,,,,,
CCC-MMT01-01,Imaginary Friends,1-4,2-4,,,,,,,,,,,
CCC-MMT01-02,A Little Competition Never Hurt Anyone,1-4,2,,,,,,,,,,,
CCC-MMT01-03,Honorable Dissent - A Price of the Red War Adventure,1-4,2,,,,,,,,,,,
CCC-MYR-01,Friends in Need,5-10,4,,,,,,,,,,,
CCC-NBDD01-01,Clever,5-10,2,,,,,,,,,,,
CCC-NUKE-0101,The Blighted Sun,1-4,4,,,,,,,,,,,
CCC-NUKE-0102,Hide and Seek,1-4,4,,,,,,,,,,,
CCC-OCC-01,Red War: Housekeeping Red War tie-in!,11-16,4-6,,,,,,,,,,,
CCC-OCC-02,Feast of the Moon,1-4,2-4,,,,,,,,,,,
CCC-ODFC-0101,Hammer and Anvil,1-4,4,,,,,,,,,,,
CCC-ODFC-0102,"Black Blades, Black Wings",5-10,4,,,,,,,,,,,
CCC-ODFC-0103,Elder's Eyes Upon You,11-16,4,,,,,,,,,,,
CCC-ODFC-0201,Serenade of Pain,1-4,4,,,,,,,,,,,
CCC-ODFC-0202,Palace of the Efreeti,5-10,4,,,,,,,,,,,
CCC-ODFC-0203,Night's Bright Dawning,11-16,4,,,,,,,,,,,
CCC-ODFC-0301,A Momentary Lapse of Reason,1-4,2-4,,,,,,,,,,,
CCC-OHAYOCON-01-03,Fiendly Competition,5-10,2-4,,,,,,,,,,,
CCC-PDXAGE-0101,The White Well,1-4,2,,,,,,,,,,,
CCC-PDXAGE-0201,The Dark Hunt,5-10,2,,,,,,,,,,,
CCC-PHA-01,Six Summoned Swords,5-10,4,,,,,,,,,,,
CCC-PPTDD01-01,Trouble Under Winton,1-4,2,,,,,,,,,,,
CCC-PRETZ-PLA01,The Mystery at Coppertop Manor,1-4,2-4,,,,,,,,,,,
CCC-PRETZ-PLA02,A Mine of Their Own,1-4,2-4,,,,,,,,,,,
CCC-PRIORY-01,Maritime Mayhem,1-4,2,,,,,,,,,,,
CCC-PRIORY-02,Prison Pitfalls,1-4,2,,,,,,,,,,,
CCC-PRIORY-03,Truths in Time,1-4,2,,,,,,,,,,,
