Code,DC Name,Seed Name,Tier,Duration,Copies Sold,Date Published,Badge Rank
WBW-DC-ROOK-3-1,The Rookery: High Kaldir,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ROOK-3-2,The Rookery: Frogs of War,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ROOK-3-3,The Rookery: The Crook in the Rook,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-SO-01,The Labyrinth of Forgotten Memories,Create a Domain of Delight,1,4,,Aug 2022,
WBW-DC-SQT-01,Hollyphant Love Medley,Create a Domain of Delight,1,4,,Nov 2021,Silver
WBW-DC-SSM-01,The Grimm Reality,Create a Domain of Delight,2,4,,Apr 2022,
WBW-DC-SUNLIT-04,Blank Stare,Face Off!,2,4,,Jan 2022,
WBW-DC-SUNLIT-05,Travelogue,Create a Domain of Delight,2,4,,Jan 2022,
WBW-DC-SUNLIT-06,Township,Create a Domain of Delight,2,4,,Jan 2022,
WBW-DC-TAZ01,I Know What Ewe Did Midsummer,Woe Unto Ewe,2,4,,Aug 2022,
WBW-DC-TBLCMB-03,The Black Lily Contract,Create a Domain of Delight,1,2,,Apr 2022,
WBW-DC-TCW-AVG-1,Missing Yeux,Wildest Dreams,2,4,,Oct 2021,
WBW-DC-TCW-AVG-2,Unbreak the H'earth,Create a Domain of Delight,2,4,,Oct 2021,
WBW-DC-TEN-01,Two to Tengu,Create a Domain of Delight,1,4,,Apr 2022,
WBW-DC-TEN-02,Festival of Fyre,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-TEN-03,The Tale of Korama,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-THAL-01,Heartfire Lost,Create a Domain of Delight,1,4,,Feb 2022,
WBW-DC-THAL-02,Awakened Song,Create a Domain of Delight,1,4,,Jul 2022,
WBW-DC-TIC-01,Mushrooms and Malfunctions: A Journey into the Caverns,Create a Domain of Delight,1,4,,Dec 2021,
WBW-DC-TID-01,Witchlight Insecurity,Create a Domain of Delight,1,4,,Mar 2022,
WBW-DC-TLRMB-02,The Last Resort,Create a Domain of Delight,1,2,,Jan 2022,
WBW-DC-TMP-01,Buck Wild!,Create a Domain of Delight,1,2,,Aug 2022,
WBW-DC-TMP-02,Bucking the Trend,Create a Domain of Delight,2,2,,Aug 2022,
WBW-DC-TMP-03,The Buck Stops,Create a Domain of Delight,2,2,,Aug 2022,
WBW-DC-TREY-01,Mistress Taken!,Create a Domain of Delight,2,4,,Sep 2022,
WBW-DC-TRI-01,Strike a Pose,Create a Domain of Delight,1,2,,Dec 2021,
WBW-DC-TRI-02,Nothing Ventured,Create a Domain of Delight,1,2,,Dec 2021,
WBW-DC-TST-01,Color in Light,Create a Domain of Delight,2,2,,Apr 2022,
WBW-DC-UCON-01,The Party that Split,Party Time!,1,4,6,Aug 2022,
WBW-DC-UCON-02,Have You No Heart?,Create a Domain of Delight,2,4,20,Aug 2022,
WBW-DC-VACONS-01,Welcome to Fablerise,Where are We?,1,2,14,Apr 2022,
WBW-DC-VMT-01,Tale As Old As Time,Create a Domain of Delight,1,4,,May 2022,
WBW-DC-VMT-02,Court of the Owl King,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-WRT-00,Writer's Block,A Host Spurned,2,2,,Aug 2022,
WBW-DC-ZEP-T1S1,Dragon-bard's Christmas Carol,Create a Domain of Delight,1,2,,Dec 2021,
WBW-DC-ZEP-T1S2,The Court of Zep,Create a Domain of Delight,1,2,,Sep 2022,
WBW-DC-ZEP-T1S3,Zep Sightseeing,Create a Domain of Delight,1,2,,Sep 2022,
WBW-DC-ZEP-T1S4,Mall of Zep,Create a Domain of Delight,1,2,,Sep 2022,
WBW-DC-ZEP-T2S1,Peekaboo,Create a Domain of Delight,2,2,,Jun 2022,
WBW-DC-ZEP-T2S2,Chimera Concoction,Create a Domain of Delight,2,2,,Jun 2022,
WBW-DC-ZEP-T2S3,Up Up and Away,Create a Domain of Delight,2,2,,Jun 2022,
WBW-DC-ZEP-T2S4,Hows the Weather Up There,Create a Domain of Delight,2,2,,Jun 2022,
WBW-DC-ZEP-T2S5,Off to the Races,Create a Domain of Delight,2,2,,Jun 2022,
WBW-DC-ZEP-T2S6,Formations of Fomorian,Create a Domain of Delight,2,2,,Jun 2022,
WBW-DC-ZEP-T2S7,Mazes and Magma,Create a Domain of Delight,2,2,,Jun 2022,
WBW-DC-ZEP-T2S8,Fate of Zep,Create a Domain of Delight,2,2,,Jun 2022,
WBW-DC-ZION-01,Anna's Embrace,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ZION-02,Alexander's Hand,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ZION-03,Noctis' Sacrifice,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ZODIAC-00,Luna Park,Create a Domain of Delight,1,2,,Dec 2021,
WBW-DC-ZODIAC-01,The Pied Piper and the Rat King,Create a Domain of Delight,1,4,,Dec 2021,
WBW-DC-ZODIAC-02,"Udder Chaos, The Holy Cowspiracy",Create a Domain of Delight,1,4,,Jan 2022,
WBW-DC-ZODIAC-03,Revenge of the Rakshasa,Create a Domain of Delight,2,4,,Jan 2022,
WBW-DC-ZODIAC-04,The Jade Hare,Create a Domain of Delight,1,4,,Mar 2022,
WBW-DC-ZODIAC-05,Fey With The Dragon Tattoo,Create a Domain of Delight,2,4,,Apr 2022,
WBW-DC-ZODIAC-06,Nightmare of the Naga,Create a Domain of Delight,2,4,,Jun 2022,
WBW-DC-ZODIAC-07,A Fey At The Races,Create a Domain of Delight,2,4,,Jul 2022,
WBW-DC-ZODIAC-08,The Golden Goats,Create a Domain of Delight,2,4,,Jul 2022,
WBW-DC-ZODIAC-09,Monkey Magic,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ZODIAC-10,Fey of a Feather,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ZODIAC-11,The Curious Incident of the Blink Dog in the Feywilds,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ZODIAC-12,Seven Hamurai,Create a Domain of Delight,2,4,,Aug 2022,
WBW-DC-ZODIAC-13,Familiar's Feast,Create a Domain of Delight,2,4,,Aug 2022,
